M050-kode;M050-navn;M050-kortkode
NiN-3.0-T-C-PE-NA-MB-MA04-M050-02;afotisk finmaterialrik til -dominert dy- og gytjebunn i atlantisk vann;MA04-M050-02
NiN-3.0-T-C-PE-NA-MB-MA05-M050-01;afotisk finmaterialrik til -dominert dy- og gytjebunn i kystvann;MA05-M050-01
NiN-3.0-T-C-PE-NA-MB-MA05-M050-02;afotisk saltvanns-fastbunn i intermediært vann;MA05-M050-02
NiN-3.0-T-C-PE-NA-MB-MA06-M050-02;anoksisk innsjøbunn;MA06-M050-02
NiN-3.0-T-C-PE-NA-MB-MA06-M050-03;beskyttet til ganske eksponert eufotisk fast saltvannsbunn;MA06-M050-03
NiN-3.0-T-C-PE-NA-MB-MA06-M050-04;blomsterbed og annen hyppig bearbeidet mark;MA06-M050-04
NiN-3.0-T-C-PE-NA-MB-MA06-M050-05;blomsterenger, usprøytete vegkanter og liknende med semi-naturlig hevdpreg;MA06-M050-05
NiN-3.0-T-C-PE-NA-MB-MA06-M050-06;brakk helofyttsump;MA06-M050-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-07;brakkvanns-flomskogsmark;MA06-M050-07
NiN-3.0-T-C-PE-NA-MB-MA06-M050-08;brakkvanns-sedimentbunn;MA06-M050-08
NiN-3.0-T-C-PE-NA-MB-MA06-M050-09;brakkvanns-strandeng;MA06-M050-09
NiN-3.0-T-C-PE-NA-MB-MA06-M050-10;brakkvanns-undervannseng;MA06-M050-10
NiN-3.0-T-C-PE-NA-MB-MA06-M050-11;breforland og snøavsmeltingsområde;MA06-M050-11
NiN-3.0-T-C-PE-NA-MB-MA06-M050-12;breoverflate-innsjøbunn;MA06-M050-12
NiN-3.0-T-C-PE-NA-MB-MB01-M050-01;ekstremt kalkfattig fastbunn i klar elv;MB01-M050-01
NiN-3.0-T-C-PE-NA-MB-MB01-M050-02;ekstremt kalkfattig steinbunn i klar elv;MB01-M050-02
NiN-3.0-T-C-PE-NA-MB-MB02-M050-01;ekstremt og svært kalkfattig fastbunn i humøs elv;MB02-M050-01
NiN-3.0-T-C-PE-NA-MB-MB03-M050-01;eufotisk saltvanns-sedimentbunn av sand- skjellsand, grus, stein eller rugl;MB03-M050-01
NiN-3.0-T-C-PE-NA-MB-MB03-M050-02;fast brakkvannsbunn;MB03-M050-02
NiN-3.0-T-C-PE-NA-MB-MC01-M050-01;fast brakkvanns-fjærebeltebunn;MC01-M050-01
NiN-3.0-T-C-PE-NA-MB-MC02-M050-01;fast saltvanns-fjærebeltebunn;MC02-M050-01
NiN-3.0-T-C-PE-NA-MB-MC03-M050-01;ferskvanns-flomskogsmark;MC03-M050-01
NiN-3.0-T-C-PE-NA-MB-MC04-M050-01;feskvannsdriftvoll;MC04-M050-01
NiN-3.0-T-C-PE-NA-MB-MC05-M050-01;finmaterialfattig til noe -rik uorganisk grov fjærebelte-sedimentbunn;MC05-M050-01
NiN-3.0-T-C-PE-NA-MB-MC06-M050-01;finmaterialfattig til noe rik uorganisk sedimentbunn i dyphavsvann;MC06-M050-01
NiN-3.0-T-C-PE-NA-MB-MC06-M050-02;finmaterialfattig til noe rik uorganisk sedimentbunn i intermediært vann;MC06-M050-02
NiN-3.0-T-C-PE-NA-MB-MC06-M050-03;finmaterialrik til -dominert dy- og gytjebunn i dyphavsvann;MC06-M050-03
NiN-3.0-T-C-PE-NA-MB-MC07-M050-01;finmaterialrik til -dominert dy- og gytjebunn i intermediært vann;MC07-M050-01
NiN-3.0-T-C-PE-NA-MB-MC07-M050-02;finmaterialrik til -dominert uorganisk fin fjærebeltebunn;MC07-M050-02
NiN-3.0-T-C-PE-NA-MB-MC08-M050-01;fjellnatur-pregede kalkfattige til svakt kalkrike stedegne grus-løsmasser, stein og blokkmark;MC08-M050-01
NiN-3.0-T-C-PE-NA-MB-MC08-M050-02;fjellnatur-pregede sterkt kalkrike stedegne grus-løsmasser, stein og blokkmark;MC08-M050-02
NiN-3.0-T-C-PE-NA-MB-MC09-M050-01;flommarkseng;MC09-M050-01
NiN-3.0-T-C-PE-NA-MB-MC10-M050-01;flomskredmark;MC10-M050-01
NiN-3.0-T-C-PE-NA-MB-MF01-M050-01;flomskredmateriale;MF01-M050-01
NiN-3.0-T-C-PE-NA-MB-MJ01-M050-01;fosse-eng;MJ01-M050-01
NiN-3.0-T-C-PE-NA-MB-MM01-M050-01;fuglefjell-eng;MM01-M050-01
NiN-3.0-T-C-PE-NA-MB-MM01-M050-02;fugletopp;MM01-M050-02
NiN-3.0-T-C-PE-NA-MB-MM01-M050-03;grunnkilde;MM01-M050-03
NiN-3.0-T-C-PE-NA-MB-MM01-M050-04;grusskred;MM01-M050-04
NiN-3.0-T-C-PE-NA-MB-MM02-M050-01;hard sterkt endret fastmark;MM02-M050-01
NiN-3.0-T-C-PE-NA-MB-MM02-M050-02;havisbunn;MM02-M050-02
NiN-3.0-T-C-PE-NA-MB-OA01-M050-01;kalkfattig undervannseng i elv;OA01-M050-01
NiN-3.0-T-C-PE-NA-MB-OA01-M050-02;kalkfattig undervannseng i innsjø;OA01-M050-02
NiN-3.0-T-C-PE-NA-MB-OA01-M050-03;kalkrik afotisk innsjøbunn;OA01-M050-03
NiN-3.0-T-C-PE-NA-MB-OA01-M050-04;kalkrik dy- og gytjebunn i elv;OA01-M050-04
NiN-3.0-T-C-PE-NA-MB-OA01-M050-05;kalkrik innsjøbunn av dy og gytje;OA01-M050-05
NiN-3.0-T-C-PE-NA-MB-OA01-M050-06;kalkrik innsjø-sedimentbunn av leire i strandkant og karplantebelte;OA01-M050-06
NiN-3.0-T-C-PE-NA-MB-OA01-M050-07;kalkrik kronisk fysisk forstyrret elvebunn;OA01-M050-07
NiN-3.0-T-C-PE-NA-MB-OA01-M050-08;kalkrik kronisk fysisk forstyrret innsjøbunn;OA01-M050-08
NiN-3.0-T-C-PE-NA-MB-OA02-M050-01;kalkrik ny innsjøbunn fra elvebunn;OA02-M050-01
NiN-3.0-T-C-PE-NA-MB-OA02-M050-02;kalkrik ny innsjøbunn fra våtmarkssystemer;OA02-M050-02
