M050-kode;HTKode
NiN-3.0-T-C-PE-NA-MB-IA01-M050-01;I-A-01
NiN-3.0-T-C-PE-NA-MB-IA01-M050-02;I-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M050-01;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M050-02;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M050-03;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M050-04;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA01-M050-05;L-A-01
NiN-3.0-T-C-PE-NA-MB-LA02-M050-01;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M050-02;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M050-03;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M050-04;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M050-05;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA02-M050-07;L-A-02
NiN-3.0-T-C-PE-NA-MB-LA03-M050-01;L-A-03
NiN-3.0-T-C-PE-NA-MB-LA03-M050-02;L-A-03
NiN-3.0-T-C-PE-NA-MB-LA03-M050-03;L-A-03
NiN-3.0-T-C-PE-NA-MB-LB01-M050-01;L-B-01
NiN-3.0-T-C-PE-NA-MB-LB01-M050-02;L-B-01
NiN-3.0-T-C-PE-NA-MB-LB01-M050-03;L-B-01
NiN-3.0-T-C-PE-NA-MB-LB02-M050-01;L-B-02
NiN-3.0-T-C-PE-NA-MB-LB02-M050-02;L-B-02
NiN-3.0-T-C-PE-NA-MB-LB02-M050-03;L-B-02
NiN-3.0-T-C-PE-NA-MB-LC01-M050-01;L-C-01
NiN-3.0-T-C-PE-NA-MB-LC02-M050-01;L-C-02
NiN-3.0-T-C-PE-NA-MB-LC02-M050-02;L-C-02
NiN-3.0-T-C-PE-NA-MB-LC03-M050-01;L-C-03
NiN-3.0-T-C-PE-NA-MB-LC04-M050-01;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC04-M050-02;L-C-04
NiN-3.0-T-C-PE-NA-MB-LC05-M050-01;L-C-05
NiN-3.0-T-C-PE-NA-MB-LC05-M050-02;L-C-05
NiN-3.0-T-C-PE-NA-MB-LC06-M050-01;L-C-06
NiN-3.0-T-C-PE-NA-MB-LG01-M050-01;L-G-01
NiN-3.0-T-C-PE-NA-MB-LJ01-M050-01;L-J-01
NiN-3.0-T-C-PE-NA-MB-LM01-M050-01;L-M-01
NiN-3.0-T-C-PE-NA-MB-LM02-M050-01;L-M-02
NiN-3.0-T-C-PE-NA-MB-LM02-M050-02;L-M-02
NiN-3.0-T-C-PE-NA-MB-LM03-M050-01;L-M-03
NiN-3.0-T-C-PE-NA-MB-LM03-M050-02;L-M-03
NiN-3.0-T-C-PE-NA-MB-LM04-M050-01;L-M-04
NiN-3.0-T-C-PE-NA-MB-LM04-M050-02;L-M-04
NiN-3.0-T-C-PE-NA-MB-LM05-M050-01;L-M-05
NiN-3.0-T-C-PE-NA-MB-LM05-M050-02;L-M-05
NiN-3.0-T-C-PE-NA-MB-LM05-M050-03;L-M-05
NiN-3.0-T-C-PE-NA-MB-LM05-M050-04;L-M-05
NiN-3.0-T-C-PE-NA-MB-MA01-M050-01;M-A-01
NiN-3.0-T-C-PE-NA-MB-MA02-M050-01;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA02-M050-02;M-A-02
NiN-3.0-T-C-PE-NA-MB-MA03-M050-01;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M050-02;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M050-03;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M050-04;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA03-M050-05;M-A-03
NiN-3.0-T-C-PE-NA-MB-MA04-M050-01;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA04-M050-02;M-A-04
NiN-3.0-T-C-PE-NA-MB-MA05-M050-01;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA05-M050-02;M-A-05
NiN-3.0-T-C-PE-NA-MB-MA06-M050-01;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-02;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-03;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-04;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-05;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-06;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-07;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-08;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-09;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-10;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-11;M-A-06
NiN-3.0-T-C-PE-NA-MB-MA06-M050-12;M-A-06
NiN-3.0-T-C-PE-NA-MB-MB01-M050-01;M-B-01
NiN-3.0-T-C-PE-NA-MB-MB01-M050-02;M-B-01
NiN-3.0-T-C-PE-NA-MB-MB02-M050-01;M-B-02
NiN-3.0-T-C-PE-NA-MB-MB03-M050-01;M-B-03
NiN-3.0-T-C-PE-NA-MB-MB03-M050-02;M-B-03
NiN-3.0-T-C-PE-NA-MB-MC01-M050-01;M-C-01
NiN-3.0-T-C-PE-NA-MB-MC02-M050-01;M-C-02
NiN-3.0-T-C-PE-NA-MB-MC03-M050-01;M-C-03
NiN-3.0-T-C-PE-NA-MB-MC04-M050-01;M-C-04
NiN-3.0-T-C-PE-NA-MB-MC05-M050-01;M-C-05
NiN-3.0-T-C-PE-NA-MB-MC06-M050-01;M-C-06
NiN-3.0-T-C-PE-NA-MB-MC06-M050-02;M-C-06
NiN-3.0-T-C-PE-NA-MB-MC06-M050-03;M-C-06
NiN-3.0-T-C-PE-NA-MB-MC07-M050-01;M-C-07
NiN-3.0-T-C-PE-NA-MB-MC07-M050-02;M-C-07
NiN-3.0-T-C-PE-NA-MB-MC08-M050-01;M-C-08
NiN-3.0-T-C-PE-NA-MB-MC08-M050-02;M-C-08
NiN-3.0-T-C-PE-NA-MB-MC09-M050-01;M-C-09
