Kortkode;Måleskala;Trinn/klassebetegnelse;trinn
LM-MT;SI;løst, lite modifisert substrat preget av kjemisk påvirkning;MT-F
LM-MT;SI;grovt organisk avfall;MT-G
LM-MT;SI;fint organisk avfall;MT-H
LM-MT;SI;konsolidert løst, sterkt modifisert eller syntetisk substrat;MT-I
LM-MT;SI;ikke-konsolidert løst, sterkt modifisert eller syntetisk substrat;MT-J
LM-MT;SI;løs fastmark på tørrlagt innsjøbunn;MT-K
LM-MT;SI;fastmark på tørrlagt elvebunn;MT-L
LM-MT;SI;fastmark på jordvannsmyrtorv;MT-M
LM-MT;SI;fastmark på nedbørsmyrtorv;MT-N
LM-MV;SI;grøftet torvmark;MV-A
LM-MV;SI;torvtak;MV-B
LM-MV;SI;ny våtmark med opphav i innsjøbunn;MV-C
LM-MV;SI;ny våtmark med opphav i elvebunn;MV-D
LM-MV;SI;ny våtmark med opphav i fastmark;MV-E
LM-MV;SI;sterkt endret, ikke-torvproduserende våtmark;MV-F
LM-MV;SI;tilplanting av, eller treslagsskifte i våtmark;MV-G
LM-MY;SI;ny fast bunn;MY-A
LM-MY;SI;nytt fast sterkt modifisert eller syntetisk substrat;MY-B
LM-MY;SI;ny løs sedimentbunn;MY-C
LM-MY;SI;ny innsjøbunn med opphav i elvebunn;MY-D
LM-MY;SI;ny innsjøbunn med opphav i ikke-torvproduserende våtmark;MY-E
LM-MY;SI;ny innsjøbunn med opphav i torvproduserende våtmark;MY-F
LM-MY;SI;vannføringsendring;MY-G
LM-KP;SI;opphør av tiltak som holder boreal hei og eng åpen;KP-KA
LM-KP;SI;opphør av bruk av kystlynghei;KP-KB
LM-KP;SI;opphør av bruk av semi-naturlig eng og strandeng;KP-KC
LM-KP;SI;opphør av bruk av sterkt endret jordbruksmark;KP-KD
LM-KP;SI;opphørt vedlikehold av løs sterkt endret fastmark;KP-KE
LM-KP;SI;opphørt vedlikehold av hard sterkt endret fastmark;KP-KF
LM-KP;SI;drenering av våtmark;KP-KG
LM-KP;SI;redusert vannføring i elv;KP-KH
LM-KP;SI;endret vannføringsregime i elv;KP-KI
LM-KP;SI;senket vannstand i innsjø;KP-KJ
LM-KP;SI;endret vannføringsregime i innsjø;KP-KK
LM-KP;SI;neddemming av fastmark eller våtmark;KP-KL
LM-KP;SI;gjennomgripende markforstyrrelse på lite endret fastmark;KP-KM
LM-KP;SI;gjennomgripende bunnforstyrrelse på lite endret saltvanns- eller ferskvannsbunn;KP-KN
LM-KP;SI;eutrofiering og annen forurensning;KP-KO
LM-KR;SI;gjenopptatt beiting eller slått, eventuelt også rydding, på semi-naturlig jordbruksmark i gjengroing;KR-KA
LM-KR;SI;gjenopptatt beiting eller slått, eventuelt også rydding, på sterkt endret jordbruksmark i gjengroing;KR-KB
LM-KR;SI;restaureringsforsøk på løs sterkt endret fastmark;KR-KC
LM-KR;SI;restaureringsforsøk på hard sterkt endret fastmark;KR-KD
LM-KR;SI;restaureringsforsøk på drenert våtmark;KR-KE
LM-KR;SI;restaureringsforsøk i torvtak;KR-KF
LM-KR;SI;restaureringsforsøk i elv med regulert vannføringsregime;KR-KG
LM-KR;SI;restaureringsforsøk i innsjø med regulert vannstandvekslingsregime;KR-KH
LM-KR;SI;restaureringsforøk på mark og bunn som er sterkt endret på grunn av eutrofiering og annen forurensning;KR-KI
LM-HA;SO;ikke tilrettelagt tresjikt;HA-0
LM-HA;SO;litt åpnet tresjikt;HA-a
LM-HA;SO;åpent tresjikt;HA-b
LM-HA;SO;åpnet, skjøttet tresjikt;HA-c
LM-HA;SO;åpen mark;HA-y
LM-HG;SO;uten preg av gjødsling;HG-0
LM-HG;SO;lav gjødslingsintensitet;HG-a
LM-HG;SO;temmelig sterk gjødslingsintensitet;HG-b
LM-HG;SO;sterk gjødslingsintensitet;HG-c
LM-HG;SO;overgjødslet mark;HG-y
LM-HH;SO;ingen høsting;HH-0
LM-HH;SO;lav utnyttingsgrad;HH-a
LM-HH;SO;ekstensiv utnytting;HH-b
LM-HH;SO;intensiv høsting;HH-c
LM-HH;SO;svært intensiv høsting;HH-y
LM-HM;SO;uryddet mark;HM-0
LM-HM;SO;mark ryddet for stein;HM-a
LM-HM;SO;ryddet mark med utjevnet overflate;HM-b
LM-HM;SO;tidligere pløyd mark;HM-c
LM-HM;SO;sporadisk pløyd mark;HM-d
LM-HM;SO;regelmessig pløyd mark;HM-y
LM-HT;SO;minimal tråkkpåvirkning;HT-0
LM-HT;SO;svak tråkkpåvirkning;HT-a
LM-HT;SO;moderat tråkkpåvirkning;HT-b
LM-HT;SO;sterk tråkkpåvirkning;HT-c
LM-HT;SO;disruptiv tråkkpåvirkning;HT-y
KM-FY;SI;minimal fysikalsk påvirkning av vann-natur;FY-K0
KM-FY;SI;temperaturregimeendringer;FY-KA
KM-FY;SI;gassovermetning;FY-KB
KM-FY;SI;annen fysikalsk påvirkning;FY-KU
KM-MG;SI;biocider;MG-K0
KM-MG;SI;organiske miljøgifter;MG-KA
KM-MG;SI;olje og andre petroleumsprodukter;MG-KB
KM-MG;SI;radioaktiv forurensning;MG-KC
KM-MG;SI;organisk belastning;MG-KD
KM-MG;SI;næringsstoffoverbelastning;MG-KE
KM-MG;SI;tungmetaller og andre uorganiske miljøgifter;MG-KF
KM-MG;SI;saltbelastning;MG-KG
KM-MG;SI;forsuring;MG-KH
KM-MG;SI;annen forurensning;MG-KU
KM-AJ;SI;minimalt preg av jordbruksaktivitet;AJ-K0
KM-AJ;SI;vanning;AJ-KA
KM-AJ;SI;brenning;AJ-KB
KM-AJ;SI;såing eller utplanting;AJ-KC
KM-AJ;SI;pløying;AJ-KD
KM-AJ;SI;sprøyting;AJ-KE
KM-AJ;SI;beiting;AJ-KF
KM-AJ;SI;slått;AJ-KG
KM-AS;SI;minimalt preg av skogbruksaktivitet;AS-K0
KM-AS;SI;sprøyting;AS-KA
KM-AS;SI;kalking;AS-KB
KM-AS;SI;gjødsling;AS-KC
KM-HG;SI;uten tydelige spor etter lukket gradvis foryngelseshogst;HG-K0
KM-HG;SI;gruppehogst;HG-KA
KM-HG;SI;kanthogst;HG-KB
KM-HG;SI;skjermstillingshogst;HG-KC
KM-HG;SI;uspesifisert lukket gradvis foryngelseshogst;HG-KU
KM-HI;SI;uten tydelige spor etter intermediær hogst;HI-K0
KM-HI;SI;forhåndsrydding;HI-KA
KM-HI;SI;fri tynning;HI-KB
KM-HI;SI;høgtynning;HI-KC
KM-HI;SI;manuell avstandsregulering;HI-KD
KM-HI;SI;gjentatt rydningshogst;HI-KE
KM-HI;SI;uspesifisert intermediær hogst;HI-KU
KM-HS;SI;uten tydelige spor etter lukket selektiv hogst;HS-K0
KM-HS;SI;bledningshogst;HS-KA
KM-HS;SI;dimensjonshogst;HS-KB
KM-HS;SI;plukkhogst;HS-KC
KM-HS;SI;uspesifisert lukket selektiv hogst;HS-KU
KM-HY;SI;uten tydelige spor etter åpen foryngelseshogst;HY-K0
KM-HY;SI;frøtrestillingshogst;HY-KA
KM-HY;SI;snauhogst;HY-KB
KM-HY;SI;gjentatt snauhogst;HY-KC
KM-HY;SI;uspesifisert åpen foryngelseshogst;HY-KU
KM-SF;SI;uten spor etter skogforyngelsestiltak;SF-K0
KM-SF;SI;markberedning;SF-KA
KM-SF;SI;planting/såing;SF-KB
KM-UM;SI;intet uttak;UM-K0
KM-UM;SI;uttak av hogstavfall;UM-KA
KM-UM;SI;uttak av hogstavfall og stubber;UM-KB
KM-UM;SI;uttak bare av tømmer;UM-KC
KM-UM;SI;uttak med hauglegging av hogstavfall;UM-KD
KM-KP;SI;endring av jordbrukspraksis;KP-KA
KM-KP;SI;mindre drenering av våtmark;KP-KB
KM-KP;SI;mindre endring av vannføring i elv;KP-KC
KM-KP;SI;mindre endring av vannstandsvekslinger i innsjø;KP-KD
KM-KP;SI;mindre påvirkning fra miljøgifter, eutrofiering og annen forurensning;KP-KE
KM-KR;SI;gjenopptakelse av tidligere jordbrukspraksis;KR-KA
KM-KR;SI;restaureringsforsøk på drenert våtmark;KR-KB
KM-KR;SI;restaureringsforsøk i elv med mindre regulert vannføringsregime;KR-KC
KM-KR;SI;restaureringsforsøk i innsjø med mindre regulert vannstandvekslingsregime;KR-KD
KM-KR;SI;restaureringsforøk på mark og bunn som er påvirket av miljøgifter, eutrofiering og annen forurensning;KR-KE
KM-OB;SO;uten sikre tegn på overbeskatning;OB-0
KM-OB;SO;tydelig overbeskatning;OB-1
KM-OB;SO;klart preg av overbeskatning;OB-2
KM-OB;SO;sterk overbeskatning;OB-y
KM-AG;SO;uten spor etter gjødsling;AG-0
KM-AG;SO;svært lett gjødsling;AG-1
KM-AG;SO;lett gjødsling;AG-2
KM-AG;SO;middels intensiv gjødsling;AG-3
KM-AG;SO;intensiv gjødsling;AG-4
KM-AG;SO;overgjødsling;AG-y
KM-AH;SO;uten preg av høsting;AH-0
KM-AH;SO;lav utnyttingsgrad;AH-1
KM-AH;SO;ekstensiv utnytting;AH-2
KM-AH;SO;intensiv høsting;AH-3
KM-AH;SO;svært intensiv høsting;AH-y
KM-AY;SO;uten spor etter sprøyting;AY-0
KM-AY;SO;sporadisk sprøyting;AY-1
KM-AY;SO;regelmessig sprøyting med moderat intensitet;AY-2
KM-AY;SO;intensiv sprøyting;AY-y
KM-BT;SO;minimalt spor etter beite;BT-0
KM-BT;SO;lavt beitetrykk;BT-1
KM-BT;SO;moderat beitetrykk;BT-2
KM-BT;SO;temmelig høyt beitetrykk;BT-3
KM-BT;SO;høyt beitetrykk;BT-4
KM-BT;SO;overbeitet;BT-y
KM-DA;SO;ingen død ved;DA-0
KM-DA;SO;ubetydelig andel død ved ;DA-1
KM-DA;SO;svært liten andel død ved, mye mindre enn forventet i skog med naturlig dynamikk;DA-2
KM-DA;SO;liten andel død ved, mindre enn forventet i skog med naturlig dynamikk;DA-3
KM-DA;SO;middels andel død ved, noe mindre enn forventet i skog med naturlig dynamikk;DA-4
KM-DA;SO;stor andel død ved, omtrent som forventet (1/3) i skog med naturlig dynamikk;DA-5
KM-DA;SO;svært stor andel død ved, forventet kun i nylig naturlig forstyrret skog;DA-6
KM-DV;SO;tilnærmet uten død ved og dødvedvariasjon;DV-0
KM-DV;SO;liten dødvedvariasjon  ;DV-1
KM-DV;SO;middels dødvedvariasjon;DV-2
KM-DV;SO;stor dødvedvariasjon, som forventet i uforstyrret skog;DV-y
SA-FS;SI;naturlig fisketom vannforekomst;FS-0
SA-FS;SI;enkelt fiskesamfunn;FS-A
SA-FS;SI;moderat komplekst fiskesamfunn;FS-B
SA-FS;SI;komplekst fiskesamfunn i små og mellomstore sjøer;FS-C
SA-AD;SI;skogsmark uten tresjikt;AD-0
SA-AD;SI;"bartrær er relative dominanter; ingen med-dominerende treslagsgrupper";AD-B2
SA-AD;SI;"bartrær er relative dominanter; edellauvtrær er med-dominerende treslagsgruppe";AD-B2E
SA-AD;SI;"bartrær er relative dominanter; boreale lauvtrær er med-dominerende treslagsgruppe";AD-B2L
SA-AD;SI;"bartrær er relative dominanter; pil og vier er med-dominerende treslagsgruppe";AD-B2V
SA-AD;SI;bartrær og edellauvtrær er relative samdominanter;AD-BE
SA-AD;SI;bartrær og boreale lauvtrær er relative samdominanter;AD-BL
SA-AD;SI;bartrær og pil og vier er relative samdominanter;AD-BV
SA-AD;SI;bartrær er eneste treslagsgruppe som tilfredsstiller definisjonen av relativ samdominant;AD-B
SA-AD;SI;"edellauvtrær er relative dominanter; ingen med-dominerende treslagsgrupper";AD-E2
SA-AD;SI;"edellauvtrær er relative dominanter; bartrær er med-dominerende treslagsgruppe";AD-E2B
SA-AD;SI;"edellauvtrær er relative dominanter; boreale lauvtrær er med-dominerende treslagsgruppe";AD-E2L
SA-AD;SI;"edellauvtrær er relative dominanter; pil og vier er med-dominerende treslagsgruppe";AD-E2V
SA-AD;SI;edellauvtrær og boreale lauvtrær er relative samdominanter;AD-EL
SA-AD;SI;edellauvtrær og pil og vier er relative samdominanter;AD-EV
SA-AD;SI;edellauvtrær er eneste treslagsgruppe som tilfredsstiller definisjonen av relativ samdominant;AD-E
SA-AD;SI;"boreale lauvtrær er relative dominanter; ingen med-dominerende treslagsgrupper";AD-L2
SA-AD;SI;"boreale lauvtrær er relative dominanter; bartrær er med-dominerende treslagsgruppe";AD-L2B
SA-AD;SI;"boreale lauvtrær er relative dominanter; edellauvtrær er med-dominerende treslagsgruppe";AD-L2E
SA-AD;SI;"boreale lauvtrær er relative dominanter; pil og vier er med-dominerende treslagsgruppe";AD-L2V
SA-AD;SI;boreale lauvtrær og pil og vier er relative samdominanter;AD-LV
SA-AD;SI;boreale lauvtrær er eneste treslagsgruppe som tilfredsstiller definisjonen av relativ samdominant;AD-L
SA-AD;SI;"pil og vier er relative dominanter; ingen med-dominerende treslagsgrupper";AD-V2
SA-AD;SI;"pil og vier er relative dominanter; bartrær er med-dominerende treslagsgruppe";AD-V2B
SA-AD;SI;"pil og vier er relative dominanter; edellauvtrær er med-dominerende treslagsgruppe";AD-V2E
SA-AD;SI;"pil og vier er relative dominanter; boreale lauvtrær er med-dominerende treslagsgruppe";AD-V2L
SA-AD;SI;pil og vier er eneste treslagsgruppe som tilfredsstiller definisjonen av relativ samdominant;AD-V
AD-TP;SI;minimal torvproduksjon;TP-0
AD-TP;SI;middels torvproduserede evne;TP-A
AD-TP;SI;stor torvproduserende evne;TP-B
AD-UT;SI;balanse mellom trofiske nivåer;UT-0
AD-UT;SI;alternativ stabil artssammensetning;UT-A
AD-VD;SI;uten differensiert vegetasjon;VD-0
AD-VD;SI;stabilisert kortskuddsvegetasjon;VD-A
AD-ØD;SI;udifferensiert mark;ØD-0
AD-ØD;SI;økologisk differensiert mark med rabbepreg;ØD-A
AD-ØD;SI;økologisk differensiert mark med fjellhei-, leside- eller grasmarkspreg;ØD-B
AD-ØD;SI;økologisk differensiert mark med snøleiepreg;ØD-C
AD-ØD;SI;økologisk differensiert mark med skogsmarkspreg;ØD-D
AD-ØD;SI;økologisk differensiert mark med kildepreg;ØD-E
AD-IE;SO;aktiv påvirkning;IE-0
AD-IE;SO;brakkleggings- eller svært tidlig gjenvekstsuksesjonsstadium;IE-a
AD-IE;SO;tidlig gjenvekstsuksesjonsstadium;IE-b
AD-IE;SO;temmelig tidlig gjenvekstsuksesjonsstadium;IE-c
AD-IE;SO;temmelig seint gjenvekstsuksesjonsstadium;IE-d
AD-IE;SO;seint gjenvekstsuksesjonsstadium;IE-e
AD-IE;SO;nær ettersuksesjonsstadium;IE-f
AD-IE;SO;ettersuksesjonsstadium;IE-y
AD-KU;SO;pionérfase;KU-a
AD-KU;SO;byggefase;KU-b
AD-KU;SO;moden fase;KU-c
AD-KU;SO;degenereringsfase;KU-d
AD-ST;SO;tre- og buskløs fase;ST-0
AD-ST;SO;foryngelsesskog;ST-a
AD-ST;SO;ungskog;ST-b
AD-ST;SO;yngre skog;ST-c
AD-ST;SO;eldre skog;ST-d
AD-ST;SO;gammel skog;ST-e
AD-ST;SO;fleraldret skog med kohortdynamikk;ST-f
AD-ST;SO;skog med småskaladynamikk;ST-y
AD-TE;SO;ingen endringsgjeld;TE-0
AD-TE;SO;ubetydelig endringsgjeld;TE-a
AD-TE;SO;observerbar endringsgjeld;TE-b
AD-TE;SO;betydelig endringsgjeld;TE-c
AD-TE;SO;vesentlig endringsgjeld;TE-d
AD-TE;SO;temmelig stor endringsgjeld;TE-e
AD-TE;SO;full artsutskifting;TE-f
AD-TE;SO;mer enn full artsutskifting;TE-g
AD-TE;SO;mye mer enn full artsutskifting;TE-y
VS-SS;SO;ensjiktet;SS-1
VS-SS;SO;tosjiktet;SS-2
VS-SS;SO;flersjiktet;SS-3
