HTkode;Varkode2;Trinn;Variabelnavn_kortkode;Definisjonsgrunnlag
T-C-01;SA;SA_b;LM-SA;SA_b, TV_ijk 
T-C-01;TV;TV_i;;SA_b, TV_ijk 
T-C-01;TV;TV_j;;SA_b, TV_ijk 
T-C-01;TV;TV_k;;SA_b, TV_ijk 
T-C-02;GS;GS_a;LM-GS;GS_a 
T-C-03;UK;;;UK, SA_b 
T-C-03;SA;SA_b;;UK, SA_b 
T-C-04;UK SA;UK SA_b;;[UK] SA_b, SF_b 
T-C-04;SF;SF_b;;[UK] SA_b, SF_b 
T-C-05;UK;;;UK, SA_b 
T-C-05;SA;SA_b;;UK, SA_b 
T-C-06;NG;NG_b;LM-NG;NG_b, HF_c
T-C-06;HF;HF_c;;NG_b, HF_c
T-C-07;NG;NG_b;LM-NG;NG_b, VI_a
T-C-07;VI;VI_a;;NG_b, VI_a
T-C-08;SV;SV_a;LM-SV;SV_a 
T-D-01;RU;RU_d;LM-RU;RU_d 
T-D-02;PF;PF_A;LM-PF;PF_A, FU_b 
T-D-02;FU;FU_b;;PF_A, FU_b 
T-D-03;RU;RU_b;LM-RU;RU_b 
T-D-04;VS;VS_b;LM-VS;VS_b 
T-D-05;NB;NB_b;LM-NB;Nb_b 
T-D-06;VI;VI_b;LM-VI;VI_b 
T-E-01;SSI;;;SSi(‒) 
T-E-02;SU;SU_b;LM-SU;SU_b 
T-E-03;VF;VF_f;LM-VF;VF_f, TV_i(‒) 
T-E-03;TV;TV_i;;VF_f, TV_i(‒) 
T-E-04;OV;OV_A;LM-OV;OV_A, TV_h(‒), 
T-E-04;TV;TV_h;;OV_A, TV_h(‒), 
T-E-04;;;;OV_A, TV_h(‒), 
T-E-05;OF;OF_b;LM-OF;OF_b 
T-E-06;ST;ST_J;LM-ST;ST_J, TV_i(‒), SA_b 
T-E-06;TV;TV_i;;ST_J, TV_i(‒), SA_b 
T-E-06;SA;SA_b;;ST_J, TV_i(‒), SA_b 
T-E-07;ST;ST_J;LM-ST;ST_J, TV_i(‒), SA_0a 
T-E-07;TV;TV_i;;ST_J, TV_i(‒), SA_0a 
T-E-07;SA;SA_0;;ST_J, TV_i(‒), SA_0a 
T-E-07;SA;SA_a;;ST_J, TV_i(‒), SA_0a 
T-E-08;VF;VF_f;LM-VF;VF_f, TV_i(‒) 
T-E-08;TV;TV_i;;VF_f, TV_i(‒) 
T-E-09;IF;IF_b;LM-IF;IF_b 
T-F-01;SS;SS_k;LM-SS;SS_k(‒) 
T-F-02;VF;VF_a;LM-VF;VF_a 
T-G-01;K;;;[K]
T-H-01;K;;;[K] 
T-I-01;K;;;[K], MS_ABCDEFGH 
T-I-01;MS;MS_A;;[K], MS_ABCDEFGH 
T-I-01;MS;MS_B;;[K], MS_ABCDEFGH 
T-I-01;MS;MS_C;;[K], MS_ABCDEFGH 
T-I-01;MS;MS_D;;[K], MS_ABCDEFGH 
T-I-01;MS;MS_E;;[K], MS_ABCDEFGH 
T-I-01;MS;MS_F;;[K], MS_ABCDEFGH 
T-I-01;MS;MS_G;;[K], MS_ABCDEFGH 
T-I-01;MS;MS_H;;[K], MS_ABCDEFGH 
T-K-01;HA;HA_b;LM-HA;HA_b, HH_b, HR_ABC 
T-K-01;HH;HH_b;;HA_b, HH_b, HR_ABC 
T-K-01;HR;HR_A;;HA_b, HH_b, HR_ABC 
T-K-01;HR;HR_B;;HA_b, HH_b, HR_ABC 
