GTKode;Varkode2;Trinn;Definisjonsgrunnlag
I-0-01-001;RA;RA-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;BP;BP-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;BP;BP-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;VE;VE-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;AI;AI-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;AI;AI-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;JB;JB-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-001;JB;JB-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-002;RA;RA-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;BP;BP-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;BP;BP-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;VE;VE-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;AI;AI-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;AI;AI-a;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-002;JB;JB-b;RA_a, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-003;RA;RA-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;BP;BP-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;BP;BP-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;VE;VE-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;AI;AI-b;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;JB;JB-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-003;JB;JB-a;RA_a, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-004;RA;RA-a;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;BP;BP-a;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;BP;BP-a;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;VE;VE-a;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;AI;AI-b;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-004;JB;JB-b;RA_a, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-005;RA;RA-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;BP;BP-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;BP;BP-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;VE;VE-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;AI;AI-c;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;JB;JB-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-005;JB;JB-a;RA_a, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-006;RA;RA-a;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;BP;BP-a;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;BP;BP-a;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;VE;VE-a;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;AI;AI-c;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-006;JB;JB-b;RA_a, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-007;RA;RA-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;BP;BP-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;BP;BP-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;VE;VE-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;AI;AI-d;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;JB;JB-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-007;JB;JB-a;RA_a, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-008;RA;RA-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;BP;BP-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;BP;BP-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;VE;VE-b;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;AI;AI-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;AI;AI-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;JB;JB-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-008;JB;JB-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-009;RA;RA-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-009;BP;BP-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-009;BP;BP-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-009;VE;VE-b;RA_a, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-009;AI;AI-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-009;AI;AI-a;RA_a, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-009;JB;JB-b;RA_a, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-010;RA;RA-a;RA_a, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-010;BP;BP-a;RA_a, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-010;BP;BP-a;RA_a, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-010;VE;VE-b;RA_a, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-010;AI;AI-b;RA_a, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-010;JB;JB-a;RA_a, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-010;JB;JB-a;RA_a, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-011;RA;RA-a;RA_a, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-011;BP;BP-a;RA_a, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-011;BP;BP-a;RA_a, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-011;VE;VE-c;RA_a, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-011;AI;AI-a;RA_a, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-011;AI;AI-a;RA_a, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-011;JB;JB-a;RA_a, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-011;JB;JB-a;RA_a, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-012;RA;RA-a;RA_a, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-012;BP;BP-a;RA_a, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-012;BP;BP-a;RA_a, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-012;VE;VE-d;RA_a, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-012;AI;AI-a;RA_a, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-012;AI;AI-a;RA_a, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-012;JB;JB-a;RA_a, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-012;JB;JB-a;RA_a, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-013;RA;RA-a;RA_a, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-013;BP;BP-b;RA_a, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-013;VE;VE-d;RA_a, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-013;AI;AI-a;RA_a, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-013;AI;AI-a;RA_a, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-013;JB;JB-a;RA_a, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-013;JB;JB-a;RA_a, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-014;RA;RA-b;RA_b, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-014;BP;BP-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-014;BP;BP-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-014;VE;VE-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-014;AI;AI-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-014;AI;AI-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-014;JB;JB-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-014;JB;JB-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-015;RA;RA-b;RA_b, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-015;BP;BP-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-015;BP;BP-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-015;VE;VE-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-015;AI;AI-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-015;AI;AI-a;RA_b, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-015;JB;JB-b;RA_b, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-016;RA;RA-b;RA_b, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-016;BP;BP-a;RA_b, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-016;BP;BP-a;RA_b, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-016;VE;VE-a;RA_b, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-016;AI;AI-b;RA_b, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-016;JB;JB-a;RA_b, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-016;JB;JB-a;RA_b, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-017;RA;RA-b;RA_b, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-017;BP;BP-a;RA_b, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-017;BP;BP-a;RA_b, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-017;VE;VE-a;RA_b, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-017;AI;AI-b;RA_b, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-017;JB;JB-b;RA_b, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-018;RA;RA-b;RA_b, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-018;BP;BP-a;RA_b, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-018;BP;BP-a;RA_b, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-018;VE;VE-a;RA_b, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-018;AI;AI-c;RA_b, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-018;JB;JB-a;RA_b, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-018;JB;JB-a;RA_b, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-019;RA;RA-b;RA_b, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-019;BP;BP-a;RA_b, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-019;BP;BP-a;RA_b, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-019;VE;VE-a;RA_b, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-019;AI;AI-c;RA_b, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-019;JB;JB-b;RA_b, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-020;RA;RA-b;RA_b, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-020;BP;BP-a;RA_b, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-020;BP;BP-a;RA_b, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-020;VE;VE-a;RA_b, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-020;AI;AI-d;RA_b, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-020;JB;JB-a;RA_b, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-020;JB;JB-a;RA_b, [bP_0a], VE_a, AI_d, Jb_0a
I-0-01-021;RA;RA-b;RA_b, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-021;BP;BP-a;RA_b, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-021;BP;BP-a;RA_b, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-021;VE;VE-b;RA_b, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-021;AI;AI-a;RA_b, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-021;AI;AI-a;RA_b, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-021;JB;JB-a;RA_b, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-021;JB;JB-a;RA_b, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-022;RA;RA-b;RA_b, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-022;BP;BP-a;RA_b, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-022;BP;BP-a;RA_b, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-022;VE;VE-b;RA_b, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-022;AI;AI-b;RA_b, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-022;JB;JB-a;RA_b, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-022;JB;JB-a;RA_b, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-023;RA;RA-b;RA_b, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-023;BP;BP-a;RA_b, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-023;BP;BP-a;RA_b, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-023;VE;VE-c;RA_b, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-023;AI;AI-a;RA_b, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-023;AI;AI-a;RA_b, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-023;JB;JB-a;RA_b, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-023;JB;JB-a;RA_b, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-024;RA;RA-b;RA_b, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-024;BP;BP-a;RA_b, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-024;BP;BP-a;RA_b, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-024;VE;VE-c;RA_b, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-024;AI;AI-b;RA_b, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-024;JB;JB-a;RA_b, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-024;JB;JB-a;RA_b, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-025;RA;RA-b;RA_b, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-025;BP;BP-a;RA_b, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-025;BP;BP-a;RA_b, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-025;VE;VE-d;RA_b, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-025;AI;AI-a;RA_b, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-025;AI;AI-a;RA_b, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-025;JB;JB-a;RA_b, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-025;JB;JB-a;RA_b, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-026;RA;RA-b;RA_b, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-026;BP;BP-b;RA_b, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-026;VE;VE-d;RA_b, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-026;AI;AI-a;RA_b, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-026;AI;AI-a;RA_b, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-026;JB;JB-a;RA_b, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-026;JB;JB-a;RA_b, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-027;RA;RA-c;RA_c, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-027;BP;BP-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-027;BP;BP-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-027;VE;VE-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-027;AI;AI-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-027;AI;AI-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-027;JB;JB-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-027;JB;JB-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-028;RA;RA-c;RA_c, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-028;BP;BP-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-028;BP;BP-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-028;VE;VE-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-028;AI;AI-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-028;AI;AI-a;RA_c, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-028;JB;JB-b;RA_c, [bP_0a], VE_a, AI_0a, Jb_b
I-0-01-029;RA;RA-c;RA_c, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-029;BP;BP-a;RA_c, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-029;BP;BP-a;RA_c, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-029;VE;VE-a;RA_c, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-029;AI;AI-b;RA_c, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-029;JB;JB-a;RA_c, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-029;JB;JB-a;RA_c, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-030;RA;RA-c;RA_c, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-030;BP;BP-a;RA_c, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-030;BP;BP-a;RA_c, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-030;VE;VE-a;RA_c, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-030;AI;AI-b;RA_c, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-030;JB;JB-b;RA_c, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-031;RA;RA-c;RA_c, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-031;BP;BP-a;RA_c, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-031;BP;BP-a;RA_c, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-031;VE;VE-a;RA_c, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-031;AI;AI-c;RA_c, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-031;JB;JB-a;RA_c, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-031;JB;JB-a;RA_c, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-032;RA;RA-c;RA_c, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-032;BP;BP-a;RA_c, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-032;BP;BP-a;RA_c, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-032;VE;VE-a;RA_c, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-032;AI;AI-c;RA_c, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-032;JB;JB-b;RA_c, [bP_0a], VE_a, AI_c, Jb_b
I-0-01-033;RA;RA-c;RA_c, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-033;BP;BP-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-033;BP;BP-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-033;VE;VE-b;RA_c, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-033;AI;AI-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-033;AI;AI-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-033;JB;JB-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-033;JB;JB-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-034;RA;RA-c;RA_c, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-034;BP;BP-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-034;BP;BP-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-034;VE;VE-b;RA_c, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-034;AI;AI-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-034;AI;AI-a;RA_c, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-034;JB;JB-b;RA_c, [bP_0a], VE_b, AI_0a, Jb_b
I-0-01-035;RA;RA-c;RA_c, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-035;BP;BP-a;RA_c, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-035;BP;BP-a;RA_c, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-035;VE;VE-b;RA_c, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-035;AI;AI-b;RA_c, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-035;JB;JB-a;RA_c, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-035;JB;JB-a;RA_c, [bP_0a], VE_b, AI_b, Jb_0a
I-0-01-036;RA;RA-c;RA_c, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-036;BP;BP-a;RA_c, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-036;BP;BP-a;RA_c, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-036;VE;VE-c;RA_c, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-036;AI;AI-a;RA_c, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-036;AI;AI-a;RA_c, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-036;JB;JB-a;RA_c, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-036;JB;JB-a;RA_c, [bP_0a], VE_c, AI_0a, Jb_0a
I-0-01-037;RA;RA-c;RA_c, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-037;BP;BP-a;RA_c, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-037;BP;BP-a;RA_c, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-037;VE;VE-c;RA_c, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-037;AI;AI-b;RA_c, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-037;JB;JB-a;RA_c, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-037;JB;JB-a;RA_c, [bP_0a], VE_c, AI_b, Jb_0a
I-0-01-038;RA;RA-c;RA_c, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-038;BP;BP-a;RA_c, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-038;BP;BP-a;RA_c, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-038;VE;VE-d;RA_c, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-038;AI;AI-a;RA_c, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-038;AI;AI-a;RA_c, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-038;JB;JB-a;RA_c, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-038;JB;JB-a;RA_c, [bP_0a], VE_d, AI_0a, Jb_0a
I-0-01-039;RA;RA-c;RA_c, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-039;BP;BP-b;RA_c, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-039;VE;VE-d;RA_c, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-039;AI;AI-a;RA_c, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-039;AI;AI-a;RA_c, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-039;JB;JB-a;RA_c, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-039;JB;JB-a;RA_c, bP_b, VE_d, AI_0a, Jb_0a
I-0-01-040;RA;RA-d;RA_d, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-040;BP;BP-a;RA_d, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-040;BP;BP-a;RA_d, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-040;VE;VE-a;RA_d, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-040;AI;AI-a;RA_d, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-040;AI;AI-a;RA_d, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-040;JB;JB-a;RA_d, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-040;JB;JB-a;RA_d, [bP_0a], VE_a, AI_0a, Jb_0a
I-0-01-041;RA;RA-d;RA_d, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-041;BP;BP-a;RA_d, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-041;BP;BP-a;RA_d, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-041;VE;VE-a;RA_d, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-041;AI;AI-b;RA_d, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-041;JB;JB-a;RA_d, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-041;JB;JB-a;RA_d, [bP_0a], VE_a, AI_b, Jb_0a
I-0-01-042;RA;RA-d;RA_d, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-042;BP;BP-a;RA_d, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-042;BP;BP-a;RA_d, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-042;VE;VE-a;RA_d, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-042;AI;AI-b;RA_d, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-042;JB;JB-b;RA_d, [bP_0a], VE_a, AI_b, Jb_b
I-0-01-043;RA;RA-d;RA_d, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-043;BP;BP-a;RA_d, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-043;BP;BP-a;RA_d, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-043;VE;VE-a;RA_d, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-043;AI;AI-c;RA_d, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-043;JB;JB-a;RA_d, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-043;JB;JB-a;RA_d, [bP_0a], VE_a, AI_c, Jb_0a
I-0-01-044;RA;RA-d;RA_d, [bP_0a], VE_b, AI_0a, Jb_0a
I-0-01-044;BP;BP-a;RA_d, [bP_0a], VE_b, AI_0a, Jb_0a
