M050-kode;M050-navn
NiN-3.0-T-C-PE-NA-MB-IA01-M050-01;varig snø og breoverflate
NiN-3.0-T-C-PE-NA-MB-IA01-M050-02;polar havis-overside
NiN-3.0-T-C-PE-NA-MB-LA01-M050-01;svært kalkfattig fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M050-02;noe kalkfattig fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M050-03;moderat kalkrik fast strandkant-innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LA01-M050-04;svært kalkrik fast strandkant-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA01-M050-05;turbid eufotisk fast innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA02-M050-01;svært kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M050-02;noe kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M050-03;moderat kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M050-04;svært kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet
NiN-3.0-T-C-PE-NA-MB-LA02-M050-05;kalkrik innsjø-sedimentbunn av leire i strandkant og karplantebelte
NiN-3.0-T-C-PE-NA-MB-LA02-M050-07;turbid innsjø-sedimentbunn
NiN-3.0-T-C-PE-NA-MB-LA03-M050-01;svært kalkfattig afotisk innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA03-M050-02;noe kalkfattig afotisk innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LA03-M050-03;kalkrik afotisk innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LB01-M050-01;kalkfattig helofytt-ferskvannssump
NiN-3.0-T-C-PE-NA-MB-LB01-M050-02;moderat kalkrik helofytt-ferskvannssump
NiN-3.0-T-C-PE-NA-MB-LB01-M050-03;svært kalkrik helofytt-ferskvannssump
NiN-3.0-T-C-PE-NA-MB-LB02-M050-01;kalkfattig undervannseng i innsjø
NiN-3.0-T-C-PE-NA-MB-LB02-M050-02;moderat kalkrik undervannseng i innsjø
NiN-3.0-T-C-PE-NA-MB-LB02-M050-03;svært kalkrik undervannseng i innsjø
NiN-3.0-T-C-PE-NA-MB-LC01-M050-01;myrtorv-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LC02-M050-01;kalkfattig innsjøbunn av dy og gytje
NiN-3.0-T-C-PE-NA-MB-LC02-M050-02;kalkrik innsjøbunn av dy og gytje
NiN-3.0-T-C-PE-NA-MB-LC03-M050-01;innsjøbunn av grovt organisk materiale
NiN-3.0-T-C-PE-NA-MB-LC04-M050-01;innsjøbunn med periodisk oksygenmangel
NiN-3.0-T-C-PE-NA-MB-LC04-M050-02;anoksisk innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LC05-M050-01;breoverflate-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LC05-M050-02;havis-overflate-innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LC06-M050-01;innsjø-sedimentbunn betinget av naturlig gjødsling
NiN-3.0-T-C-PE-NA-MB-LG01-M050-01;ny innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LJ01-M050-01;klart endret innsjøbunn preget av næringsstoff-overbelastning
NiN-3.0-T-C-PE-NA-MB-LM01-M050-01;ny sterkt endret innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LM02-M050-01;kalkfattig ny innsjøbunn fra elvebunn
NiN-3.0-T-C-PE-NA-MB-LM02-M050-02;kalkrik ny innsjøbunn fra elvebunn
NiN-3.0-T-C-PE-NA-MB-LM03-M050-01;kalkfattig ny innsjøbunn fra våtmarkssystemer
NiN-3.0-T-C-PE-NA-MB-LM03-M050-02;kalkrik ny innsjøbunn fra våtmarkssystemer
NiN-3.0-T-C-PE-NA-MB-LM04-M050-01;kalkfattig kronisk fysisk forstyrret innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LM04-M050-02;kalkrik kronisk fysisk forstyrret innsjøbunn
NiN-3.0-T-C-PE-NA-MB-LM05-M050-01;kronisk kjemisk påvirket innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LM05-M050-02;kronisk saltpåvirket innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LM05-M050-03;kronisk forsuret eller eutrofiert innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-LM05-M050-04;kronisk forsuret fast innsjøbunn 
NiN-3.0-T-C-PE-NA-MB-MA01-M050-01;fast saltvanns-fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M050-01;beskyttet til ganske eksponert eufotisk fast saltvannsbunn
NiN-3.0-T-C-PE-NA-MB-MA02-M050-02;svært til ekstremt eksponert eufotisk fast saltvannsbunn
NiN-3.0-T-C-PE-NA-MB-MA03-M050-01;afotisk fastbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA03-M050-02;afotisk fastbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA03-M050-03;afotisk saltvanns-fastbunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA03-M050-04;afotisk fastbunn i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MA03-M050-05;afotisk fastbunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA04-M050-01;finmaterialfattig til noe -rik uorganisk grov fjærebelte-sedimentbunn
NiN-3.0-T-C-PE-NA-MB-MA04-M050-02;finmaterialrik til -dominert uorganisk fin fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MA05-M050-01;eufotisk saltvanns-sedimentbunn av sand- skjellsand, grus, stein eller rugl
NiN-3.0-T-C-PE-NA-MB-MA05-M050-02; eufotisk saltvanns-sedimentbunn av leire, silt dy- og gytje eller myrtorv
NiN-3.0-T-C-PE-NA-MB-MA06-M050-01;afotisk finmaterialfattig til noe rik uorganisk sedimentbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-02;afotisk finmaterialrik til -dominert dy- og gytjebunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-03;afotisk finmaterialfattig til noe rik uorganisk sedimentbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-04;afotisk finmaterialrik til -dominert dy- og gytjebunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-05;finmaterialfattig til noe rik uorganisk sedimentbunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-06;finmaterialrik til -dominert dy- og gytjebunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-07;finmaterialfattig til noe rik uorganisk sedimentbunn i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-08;finmaterialrik til -dominert dy- og gytjebunn i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-09;afotisk finmaterialfattig til noe -rik uorganisk sedimentbunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-10;afotisk finmaterialrik til -dominert dy- og gytjebunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M050-11;afotisk satvannsbunn av konsolidert leire
NiN-3.0-T-C-PE-NA-MB-MA06-M050-12;overveiende uorganisk dyphavsvannssedimentbunn med abyssal næringstilførselsreduksjon
NiN-3.0-T-C-PE-NA-MB-MB01-M050-01;salt helofyttsump
NiN-3.0-T-C-PE-NA-MB-MB01-M050-02;brakk helofyttsump
NiN-3.0-T-C-PE-NA-MB-MB02-M050-01;saltvanns-undervannseng
NiN-3.0-T-C-PE-NA-MB-MB03-M050-01;kysttilknyttet korallrev-bunn
NiN-3.0-T-C-PE-NA-MB-MB03-M050-02;havtilknyttet korallrev-bunn
NiN-3.0-T-C-PE-NA-MB-MC01-M050-01;fast brakkvanns-fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MC02-M050-01;fast brakkvannsbunn
NiN-3.0-T-C-PE-NA-MB-MC03-M050-01;littoralbassengbunn
NiN-3.0-T-C-PE-NA-MB-MC04-M050-01;brakkvanns-sedimentbunn
NiN-3.0-T-C-PE-NA-MB-MC05-M050-01;marine grotter og overheng
NiN-3.0-T-C-PE-NA-MB-MC06-M050-01;kald havkilde i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MC06-M050-02;kald havkilde i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MC06-M050-03;kald havkilde i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MC07-M050-01;litt til sterkt jordvarmepåvirket varm havkilde
NiN-3.0-T-C-PE-NA-MB-MC07-M050-02;svært sterkt til disruptivt jordvarmepåvirket varm havkilde
NiN-3.0-T-C-PE-NA-MB-MC08-M050-01;periodisk oksygenfri marin bunn
NiN-3.0-T-C-PE-NA-MB-MC08-M050-02;oksygenfri marin bunn
NiN-3.0-T-C-PE-NA-MB-MC09-M050-01;havisbunn
NiN-3.0-T-C-PE-NA-MB-MC10-M050-01;havis-underside
NiN-3.0-T-C-PE-NA-MB-MF01-M050-01;brakkvanns-undervannseng
NiN-3.0-T-C-PE-NA-MB-MJ01-M050-01;taretrålingsbunn
NiN-3.0-T-C-PE-NA-MB-MM01-M050-01;sterkt endret eller ny fast marin bunn og -berg i eufotisk sone
NiN-3.0-T-C-PE-NA-MB-MM01-M050-02;sterkt endret eller ny fast marin bunn og -berg i afotisk sone
NiN-3.0-T-C-PE-NA-MB-MM01-M050-03;sterkt endret eller ny uorganisk marin bunn
NiN-3.0-T-C-PE-NA-MB-MM01-M050-04;sterkt endret eller ny marin bunn av dy og gyttje
NiN-3.0-T-C-PE-NA-MB-MM02-M050-01;sterkt endret fast marin bunn og -berg preget av kronisk kjemisk påvirkning
NiN-3.0-T-C-PE-NA-MB-MM02-M050-02;sterkt endret marin bunn av uorganisk substtrat preget av kronisk kjemisk påvirkning
NiN-3.0-T-C-PE-NA-MB-OA01-M050-01;ekstremt kalkfattig fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M050-02;svært kalkfattig fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M050-03;noe kalkfattig fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M050-04;moderat kalkrik fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M050-05;svært kalkrik fastbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA01-M050-06;ekstremt og svært kalkfattig fastbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA01-M050-07;noe kalkfattig og kalkrik fastbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA01-M050-08;turbid fast elvebunn
NiN-3.0-T-C-PE-NA-MB-OA02-M050-01;ekstremt kalkfattig steinbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M050-02;svært kalkfattig steinbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M050-03;noe kalkfattig steinbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M050-04;kalkrik steinbunn i klar elv
NiN-3.0-T-C-PE-NA-MB-OA02-M050-05;steinbunn i humøs elv
