M050-kode;M050-navn
NiN-3.0-T-C-PE-NA-MB-OA02-M050-06;noe kalkfattig steinbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA02-M050-07;kalkrik steinbunn i humøs elv
NiN-3.0-T-C-PE-NA-MB-OA02-M050-08;turbid elvesedimentbunn
NiN-3.0-T-C-PE-NA-MB-OB01-M050-01;kalkfattig undervannseng i elv
NiN-3.0-T-C-PE-NA-MB-OB01-M050-02;kalkrik undervannseng i elv
NiN-3.0-T-C-PE-NA-MB-OC01-M050-01;kalkfattig svak ferskvannskildebunn
NiN-3.0-T-C-PE-NA-MB-OC01-M050-02;kalkfattig sterk ferskvannskildebunn
NiN-3.0-T-C-PE-NA-MB-OC02-M050-01;varm ferskvannskildebunn
NiN-3.0-T-C-PE-NA-MB-OC03-M050-01;kalkfattig dy- og gytjebunn i elv
NiN-3.0-T-C-PE-NA-MB-OC03-M050-02;kalkrik dy- og gytjebunn i elv
NiN-3.0-T-C-PE-NA-MB-OG01-M050-01;ny elvebunn
NiN-3.0-T-C-PE-NA-MB-OM01-M050-01;kalkfattig kronisk fysisk forstyrret elvebunn
NiN-3.0-T-C-PE-NA-MB-OM01-M050-02;kalkrik kronisk fysisk forstyrret elvebunn
NiN-3.0-T-C-PE-NA-MB-OM01-M050-03;turbid minstevannførings-strekning i elv 
NiN-3.0-T-C-PE-NA-MB-OM02-M050-01;kronisk kjemisk påvirket elvebunn
NiN-3.0-T-C-PE-NA-MB-OM02-M050-02;kronisk forsuret elvebunn
NiN-3.0-T-C-PE-NA-MB-TA01-M050-01;svært kalkfattig til noe kalkrikt nakent berg
NiN-3.0-T-C-PE-NA-MB-TA01-M050-02;klart til ekstremt kalkrikt nakent berg
NiN-3.0-T-C-PE-NA-MB-TA02-M050-01;kalkfattig til litt kalkrik åpen grunnlendt mark
NiN-3.0-T-C-PE-NA-MB-TA02-M050-02;temmelig til ekstremt kalkrik åpen grunnlendt mark
NiN-3.0-T-C-PE-NA-MB-TA03-M050-01;kalkfattig til litt kalkrik arktisk-alpin hei og leside
NiN-3.0-T-C-PE-NA-MB-TA03-M050-02;kalkrik til saltanriket arktisk-alpin hei og leside
NiN-3.0-T-C-PE-NA-MB-TA04-M050-01;kalkfattig til litt kalkrik arktisk-alpin grasmark
NiN-3.0-T-C-PE-NA-MB-TA04-M050-02;klart kalkrik arktisk-alpin grasmark
NiN-3.0-T-C-PE-NA-MB-TB01-M050-01;kalkfattig- til intermediær skog
NiN-3.0-T-C-PE-NA-MB-TB01-M050-02;kalkskog
NiN-3.0-T-C-PE-NA-MB-TC01-M050-01;strandberg
NiN-3.0-T-C-PE-NA-MB-TC02-M050-01;kalkfattig til litt kalkrik grotte og overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M050-02;sterkt kalkrik grotte og overheng
NiN-3.0-T-C-PE-NA-MB-TC03-M050-01;leire- og siltstrand i geolittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M050-02;sand-, skjellsand-, grus-, og ruglebunn-strand i geo- til supralittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M050-03;stein- og blokkstrand i geo- til supralittoral
NiN-3.0-T-C-PE-NA-MB-TC04-M050-01;saltanrikningsmark
NiN-3.0-T-C-PE-NA-MB-TC05-M050-01;strandeng
NiN-3.0-T-C-PE-NA-MB-TC05-M050-02;brakkvanns-strandeng
NiN-3.0-T-C-PE-NA-MB-TC06-M050-01;fuglefjell-eng
NiN-3.0-T-C-PE-NA-MB-TC07-M050-01;fugletopp
NiN-3.0-T-C-PE-NA-MB-TC08-M050-01;kalkfattig til litt kalkrikt moderat til ekstremt snøleie
NiN-3.0-T-C-PE-NA-MB-TC08-M050-02;sterkt kalkrikt moderat til ekstremt snøleie
NiN-3.0-T-C-PE-NA-MB-TD01-M050-01;kalkfattig til litt kalkrik rasmark
NiN-3.0-T-C-PE-NA-MB-TD01-M050-02;sterkt kalkrik rasmark
NiN-3.0-T-C-PE-NA-MB-TD02-M050-01;flomskredmark
NiN-3.0-T-C-PE-NA-MB-TD03-M050-01;kalkfattig til litt kalkrik rasmarkeng og -hei
NiN-3.0-T-C-PE-NA-MB-TD03-M050-02;klart kalkrik rasmarkeng og -hei
NiN-3.0-T-C-PE-NA-MB-TD04-M050-01;fosse-eng
NiN-3.0-T-C-PE-NA-MB-TD05-M050-01;naturlig beitebetinget eng
NiN-3.0-T-C-PE-NA-MB-TD06-M050-01;kalkfattig til litt kalkrik rabbe
NiN-3.0-T-C-PE-NA-MB-TD06-M050-02;klart kalkrik til saltanriket rabbe
NiN-3.0-T-C-PE-NA-MB-TE01-M050-01;kyst-sanddynemark
NiN-3.0-T-C-PE-NA-MB-TE01-M050-02;innlands-sanddynemark
NiN-3.0-T-C-PE-NA-MB-TE02-M050-01;leir- og siltskred
NiN-3.0-T-C-PE-NA-MB-TE02-M050-02;sandskred
NiN-3.0-T-C-PE-NA-MB-TE02-M050-03;grusskred
NiN-3.0-T-C-PE-NA-MB-TE03-M050-01;åpen flomfastmark
NiN-3.0-T-C-PE-NA-MB-TE04-M050-01;langvarig oversvømt flommark
NiN-3.0-T-C-PE-NA-MB-TE05-M050-01;kalkfattig til litt kalkrik oppfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TE05-M050-02;sterkt kalkrik oppfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TE06-M050-01;marin driftvoll
NiN-3.0-T-C-PE-NA-MB-TE07-M050-01;feskvannsdriftvoll
NiN-3.0-T-C-PE-NA-MB-TE08-M050-01;flommarkseng
NiN-3.0-T-C-PE-NA-MB-TE09-M050-01;kalkfattig isinnfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TE09-M050-02;intermediær til litt kalkrik isinnfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TE09-M050-03;klart kalkrik isinnfrysingsmark
NiN-3.0-T-C-PE-NA-MB-TF01-M050-01;sand- og dyneskogsmark
NiN-3.0-T-C-PE-NA-MB-TF02-M050-01;ferskvanns-flomskogsmark
NiN-3.0-T-C-PE-NA-MB-TF02-M050-02;brakkvanns-flomskogsmark
NiN-3.0-T-C-PE-NA-MB-TG01-M050-01;fjellnatur-pregede kalkfattige til svakt kalkrike stedegne grus-løsmasser, stein og blokkmark
NiN-3.0-T-C-PE-NA-MB-TG01-M050-02;fjellnatur-pregede sterkt kalkrike stedegne grus-løsmasser, stein og blokkmark
NiN-3.0-T-C-PE-NA-MB-TG01-M050-03;moreneblokkmark
NiN-3.0-T-C-PE-NA-MB-TG01-M050-04;grus-, stein- og blokkstrand
NiN-3.0-T-C-PE-NA-MB-TG01-M050-05;breforland og snøavsmeltingsområde
NiN-3.0-T-C-PE-NA-MB-TG01-M050-06;konsoliderte marine bresedimenter
NiN-3.0-T-C-PE-NA-MB-TG01-M050-07;historisk silt- og leirskred
NiN-3.0-T-C-PE-NA-MB-TG01-M050-08;historisk skred av sand og grus
NiN-3.0-T-C-PE-NA-MB-TG01-M050-09;historisk steinskred
NiN-3.0-T-C-PE-NA-MB-TG01-M050-10;historisk jordskred
NiN-3.0-T-C-PE-NA-MB-TG01-M050-11;synkehull i permafrost
NiN-3.0-T-C-PE-NA-MB-TG01-M050-12;flomskredmateriale
NiN-3.0-T-C-PE-NA-MB-TH01-M050-01;kalkfattig til litt kalkrik avskoget hei og eng
NiN-3.0-T-C-PE-NA-MB-TH01-M050-02;klart kalkrik avskoget hei og eng
NiN-3.0-T-C-PE-NA-MB-TI01-M050-01;klart endret skogsmark
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;kalkfattig til svakt kalkrik åpen semi-naturlig eng
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;klart kalkrik åpen semi-naturlig eng
NiN-3.0-T-C-PE-NA-MB-TK02-M050-01;semi-naturlig strandeng
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;kalkfattig til litt kalkrik bakli-hei  og kystlynghei
NiN-3.0-T-C-PE-NA-MB-TK03-M050-02;sterkt kalkrik kystlynghei
NiN-3.0-T-C-PE-NA-MB-TL01-M050-01;kalkfattig til litt kalkrik ny eng med semi-naturlig preg
NiN-3.0-T-C-PE-NA-MB-TL01-M050-02;sterkt kalkrik ny eng med semi-naturlig preg
NiN-3.0-T-C-PE-NA-MB-TM01-M050-01;hard sterkt endret fastmark
NiN-3.0-T-C-PE-NA-MB-TM02-M050-01;ny hard fastmark på tørrlagt innsjøbunn
NiN-3.0-T-C-PE-NA-MB-TM02-M050-02;ny hard fastmark på tørrlagt elvebunn
NiN-3.0-T-C-PE-NA-MB-TM03-M050-01;sterkt endret fastmark med dekke av jord eller blandet sediment
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;sterkt endret fastmark med dekke av leire til grus
NiN-3.0-T-C-PE-NA-MB-TM03-M050-03;sterkt endret fastmark av substrat preget av kjemisk påvirkning
NiN-3.0-T-C-PE-NA-MB-TM03-M050-04;sterkt endret fastmark av organisk avfall
NiN-3.0-T-C-PE-NA-MB-TM03-M050-05;sterkt endret fastmark av  løst, sterkt modifisert eller syntetisk substrat
NiN-3.0-T-C-PE-NA-MB-TM04-M050-01;ny løs fastmark på tørrlagt innsjøbunn
NiN-3.0-T-C-PE-NA-MB-TM04-M050-02;ny løs fastmark på tørrlagt elvebunn
NiN-3.0-T-C-PE-NA-MB-TM05-M050-01;ny løs fastmark på drenert våtmark
NiN-3.0-T-C-PE-NA-MB-TM06-M050-01;sterkt endret skogsmark
NiN-3.0-T-C-PE-NA-MB-TM06-M050-02;sterkt endret skogsmark i mellomsuksesjonsstadium
NiN-3.0-T-C-PE-NA-MB-TN01-M050-01;blomsterbed og annen hyppig bearbeidet mark
NiN-3.0-T-C-PE-NA-MB-TN02-M050-01;vegkanter, plener, parker og liknende med semi-naturlig hevdpreg
NiN-3.0-T-C-PE-NA-MB-TN03-M050-01;vegkanter, plener, parker og liknende uten semi-naturlig hevdpreg
NiN-3.0-T-C-PE-NA-MB-TO01-M050-01;åker
NiN-3.0-T-C-PE-NA-MB-TO02-M050-01;oppdyrket mark med semi-naturlig engpreg
NiN-3.0-T-C-PE-NA-MB-TO03-M050-01;oppdyrket varig eng
NiN-3.0-T-C-PE-NA-MB-TO04-M050-01;upløyd jordbruksmark med intensivt hevdpreg
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;svært kalkfattig til litt kalkrik mykmatte til øvre tuenivå
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;temmelig til ekstremt kalkrikt mattenivå i myrkant til nedre tuenivå
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;svært kalkfattig til litt kalkrik myr- og sumpskogsmark
NiN-3.0-T-C-PE-NA-MB-VB01-M050-02;Klart kalkrik myr- og sumpskogsmark
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;åpen nedbørsmyr
NiN-3.0-T-C-PE-NA-MB-VC02-M050-01;torvmarkskilde
NiN-3.0-T-C-PE-NA-MB-VC03-M050-01;grunnkilde
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;våt- og kildesnøleie
NiN-3.0-T-C-PE-NA-MB-VC05-M050-01;permafrost-våtmark
NiN-3.0-T-C-PE-NA-MB-VE01-M050-01;oppfrysingsvåtmark
NiN-3.0-T-C-PE-NA-MB-VF01-M050-01;nedbørsmyr-skogsmark
NiN-3.0-T-C-PE-NA-MB-VF02-M050-01;strandsump-skogsmark
NiN-3.0-T-C-PE-NA-MB-VG01-M050-01;ny naturgitt torvmark
NiN-3.0-T-C-PE-NA-MB-VG02-M050-01;ny naturgitt grunn våtmark
NiN-3.0-T-C-PE-NA-MB-VI01-M050-01;klart endret våtmarksskogsmark
NiN-3.0-T-C-PE-NA-MB-VK01-M050-01;semi-naturlig myr
NiN-3.0-T-C-PE-NA-MB-VK02-M050-01;semi-naturlig våteng
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;sterkt endret torvmark
NiN-3.0-T-C-PE-NA-MB-VM02-M050-01;ny torvmark på tidligere ferskvannsbunn
NiN-3.0-T-C-PE-NA-MB-VM03-M050-01;ny torvmark på menneskebetinget forsumpet fastmark
NiN-3.0-T-C-PE-NA-MB-VM04-M050-01;sterkt endret ikke torvproduserende våtmark
NiN-3.0-T-C-PE-NA-MB-VM05-M050-01;ny grunn våtmark på tidligere ferskvannsbunn
NiN-3.0-T-C-PE-NA-MB-VM06-M050-01;ny grunn våtmark på menneskebetinget forsumpet fastmark
NiN-3.0-T-C-PE-NA-MB-VO01-M050-01;sterkt tråkkpreget våtmark
