M020-kode;M020-navn
NiN-3.0-T-C-PE-NA-MB-MA01-M020-01;beskyttet til moderat eksponert fast saltvanns-fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MA01-M020-02;ganske til ekstremt eksponert fast saltvanns-fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MA02-M020-01;beskyttet fast saltvannsbunn og bergvegg ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-02;moderat til ganske eksponert saltvannsbunn og bergvegg ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-03;svært til ekstremt eksponert fast saltvannsbunn ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-04;beskyttet saltvannsbunn og bergvegg i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-05;moderat til ganske eksponert fast saltvannsbunn og bergvegg i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-06;moderat til ganske eksponert saltvanns-fastbunn med store hulrom ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-07;moderat til ganske eksponert saltvanns-fastbunn med store hulrom i rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MA02-M020-08;svært til ekstremt eksponert eufotisk saltvanns-fastbunn med store hulrom
NiN-3.0-T-C-PE-NA-MB-MA03-M020-01;beskyttet afotisk fastbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-02;eksponert afotisk fastbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-03;beskyttet afotisk fastbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-04;litt beskyttet til litt eksponert afotisk fastbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-05;beskyttet fastbunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-06;litt beskyttet til litt eksponert fastbunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-07;beskyttet fastbunn i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-08;litt beskyttet til litt eksponert fastbunn i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-09;beskyttet afotisk fastbunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA03-M020-10;litt beskyttet til litt eksponert afotisk fastbunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA04-M020-01;finmaterialfattig uorganisk sand, skjellsand, rugl- og grusbunn i fjærebeltet
NiN-3.0-T-C-PE-NA-MB-MA04-M020-02;finmaterialfattig uorganisk steinbunn i fjærebeltet
NiN-3.0-T-C-PE-NA-MB-MA04-M020-03;noe finmaterialrik marin sand- til grusbunn i nedre vannstrandbelte
NiN-3.0-T-C-PE-NA-MB-MA04-M020-04;finmaterialrik til -dominert uorganisk marin leire- til siltbunn i hydrolittoral til nederste geolittoral
NiN-3.0-T-C-PE-NA-MB-MA04-M020-05;noe finmaterialrik uorganisk marin sand- til grusbunn i øvre vannstrandbelte til midtre landstrandbelte
NiN-3.0-T-C-PE-NA-MB-MA04-M020-06;fjærebeltebunn av konsolidert leire
NiN-3.0-T-C-PE-NA-MB-MA05-M020-01;finmaterialfattig eufotisk saltvanns-sedimentbunn av sand- skjellsand, grus eller rugl
NiN-3.0-T-C-PE-NA-MB-MA05-M020-02;finmaterialfattig eufotisk saltvanns-sedimentbunn av stein
NiN-3.0-T-C-PE-NA-MB-MA05-M020-03;noe finmaterialrik eufotisk saltvanns-sedimentbunn av sand- og grus
NiN-3.0-T-C-PE-NA-MB-MA05-M020-04; eufotisk saltvanns-sedimentbunn av leire, silt dy- og gytje eller myrtorv
NiN-3.0-T-C-PE-NA-MB-MA05-M020-05;eufotisk saltvanns-sedimentbunn av konsolidert leire
NiN-3.0-T-C-PE-NA-MB-MA06-M020-01;afotisk finmaterialfattig til noe rik uorganisk sedimentbunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-02;afotisk finmaterialrik til -dominert dy- og gytjebunn i kystvann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-03;afotisk finmaterialfattig til noe rik uorganisk sedimentbunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-04;afotisk finmaterialrik til -dominert dy- og gytjebunn i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-05;finmaterialfattig til noe rik uorganisk sedimentbunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-06;finmaterialrik til -dominert dy- og gytjebunn i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-07;finmaterialfattig til noe rik uorganisk sedimentbunn i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-08;finmaterialrik til -dominert dy- og gytjebunn i dyphavsvann
